Ticker,Full Name,Sector,Sub-Industry,Founding Year (YF),Founded (Wiki),Date Added,Market Cap,Pricing Power,Gross Margins (latest→older)
LUV,Southwest Airlines,Industrials,Passenger Airlines,,1967,1994-07-01,17604292608,24.822466603348296,"[0.16224575191936833, 0.16185657889693764, 0.19954648526077098, 0.26060797973400884]"
FE,FirstEnergy,Utilities,Electric Utilities,,1997,1997-11-28,27120662528,24.744009506237592,"[0.6756977434679335, 0.624941724941725, 0.6266955614415282, 0.7230506647502695]"
LH,Labcorp,Health Care,Health Care Services,,1978,2004-11-01,23761614848,24.664441226152924,"[0.3083658110985556, 0.3060781476121563, 0.3415824475931186, 0.40650573610127816]"
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,,1994,2019-07-15,258092335104,24.12706754522751,"[0.6357125307125308, 0.6157234145472136, 0.5449849819657916, 0.5431114106692628]"
ES,Eversource Energy,Utilities,Electric Utilities,,1966,2009-07-24,26928115712,24.05737859505547,"[0.5169232612673642, 0.4069247790118217, 0.44021369421423584, 0.4817008065934746]"
TXN,Texas Instruments,Information Technology,Semiconductors,,1930,2001-03-12,160535445504,23.940244883701144,"[0.5814206252797136, 0.628974256521491, 0.6875873776712602, 0.6746620148277366]"
CHTR,Charter Communications,Communication Services,Cable & Satellite,,1993,2016-09-08,34579374080,23.56630874038214,"[0.5587183443768721, 0.5487757979746186, 0.5462774425234164, 0.45385240509268215]"
BA,Boeing,Industrials,Aerospace & Defense,,1916,1957-03-04,161016217600,21.53819516495184,"[-0.029932197784025137, 0.09928786281718384, 0.05299663704059573, 0.04895161031371416]"
NI,NiSource,Utilities,Multi-Utilities,,1912,2000-11-02,20364478464,20.87893054498067,"[0.5146926729115873, 0.44995822283576126, 0.38469558677742455, 0.41866682994530163]"
STLD,Steel Dynamics,Materials,Steel,,1993,2022-12-22,21013454848,20.693052759644978,"[0.18534177404265242, 0.2367419095268204, 0.29083427197994105, 0.3085931494905983]"
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,,2002,2008-11-14,12249474048,20.669034838357483,"[0.4351226107999188, 0.4322379853815821, 0.36376541361388937, 0.3201887841210055]"
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,,1993,2018-03-19,48211288064,20.00246750344218,"[0.7410891792104516, 0.7163526244952894, 0.7364062879679995, 0.617838393060945]"
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",,1979,2012-07-02,48003047424,19.95265717246962,"[0.3793558315928328, 0.2747672111128072, 0.25203141928494044, 0.3352199639825058]"
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,,2025 (Paramount Pictures 1912),1994-09-30,18382493696,19.89804138861444,"[0.2963749015849108, 0.24497504384189936, 0.3418783577634808, 0.3792765689498356]"
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,,1954,1997-07-28,8057351168,19.503895652628024,"[0.44181986238061005, 0.5105689092885615, 0.5647855530474041, 0.443331246086412]"
PFE,Pfizer,Health Care,Pharmaceuticals,,1849,1957-03-04,139352850432,19.285306334519525,"[0.7465855690194414, 0.6071296638345032, 0.6749295774647888, 0.6391841354197422]"
SO,Southern Company,Utilities,Electric Utilities,,1945,1957-03-04,107584634880,19.215642040650554,"[0.5183729980541835, 0.4818833405931969, 0.3766522080672154, 0.46099597629039935]"
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,,1988,2019-10-03,33320460288,19.202831661158697,"[0.4886705611612675, 0.4981681450057848, 0.40145985401459855, 0.379782711384034]"
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,,2022 (Warner Bros. 1923),2022-04-11,45034295296,19.14409913565548,"[0.7705043106736859, 0.7942450569928123, 0.8142650146376083, 0.9082109753096547]"
ATO,Atmos Energy,Utilities,Gas Utilities,,1906,2019-02-15,28317962240,18.718414279912405,"[0.5791713553317054, 0.48142833452270767, 0.430507023173211, 0.4976548720612533]"
GE,GE Aerospace,Industrials,Aerospace & Defense,,1892,1957-03-04,318280269824,18.177015416221565,"[0.37191876388817113, 0.3510523933461582, 0.34839905281581385, 0.23182631178168553]"
NEM,Newmont,Materials,Gold,,1921,1969-06-30,99706273792,17.98259918843028,"[0.3823466438282839, 0.25440230274297326, 0.2737725556021821, 0.36524300441826213]"
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,,1971,2000-08-30,20148551680,17.691776883496374,"[0.2954830614805521, 0.35174990169091624, 0.4365903281339663, 0.3014091430444044]"
AMGN,Amgen,Health Care,Biotechnology,,1980,1992-01-02,160867909632,17.60930572749748,"[0.6153063666826233, 0.7002128414331323, 0.7566386810014056, 0.7515685746179607]"
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,,2005,2022-10-12,31992571904,17.1808494740772,"[0.2597747459023899, 0.2524423578638008, 0.141028581257346, 0.13862700444843007]"
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,,1997,2012-05-25,60840484864,17.150429182869697,"[0.5568874172185431, 0.5312377722707708, 0.40411458333333333, 0.48055388320288983]"
DTE,DTE Energy,Utilities,Multi-Utilities,,1995,1957-03-04,29467088896,16.870237424984953,"[0.3161274785261299, 0.3118870145154963, 0.17495319325982941, 0.22841486233627373]"
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,,1903,1957-03-04,42297008128,16.812285260149743,"[0.36268221574344023, 0.4463824864287621, 0.28438775510204084, 0.3275046286772269]"
HOLX,Hologic,Health Care,Health Care Equipment,,1985,2016-03-30,15535986688,16.797888906744227,"[0.6221869339751384, 0.5872369988090512, 0.6955457760960764, 0.7386857944356657]"
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",,1970,2009-07-01,43260792832,16.745622537548606,"[0.3878151260504202, 0.28067120468576856, 0.22238209432454037, 0.31256318842122066]"
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,,1906,2010-03-15,42880081920,16.338196665110083,"[0.33427043967185915, 0.2816654409684901, 0.1720194755885112, 0.22134220072551392]"
NEE,NextEra Energy,Utilities,Multi-Utilities,,1984 (1925),1976-06-30,174071988224,15.823603214570396,"[0.6126934108996889, 0.6490716369068792, 0.4975186104218362, 0.518542386783057]"
CEG,Constellation Energy,Utilities,Electric Utilities,,1999,2022-02-02,120744755200,15.645087600813586,"[0.2916666666666667, 0.16128902801187897, 0.11845335515548282, 0.19965392640846863]"
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,,1992,2010-01-29,32639514624,15.440740021437152,"[0.20255954496978315, 0.07549526419873018, 0.12896680721554704, 0.24298788395272147]"
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,,1920,1957-03-04,40263585792,15.227578968578692,"[0.35734331150608045, 0.35775206143610433, 0.4816563847791669, 0.3024348898135306]"
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,,2004 (1865 / 1909),2011-09-26,9305532416,14.726109263525931,"[0.13592800374006545, 0.1614036112469973, 0.30095371551670047, 0.25897842588246717]"
NUE,Nucor,Materials,Steel,,1940,1985-04-30,30248179712,14.440404164622743,"[0.13346782065464957, 0.22512530967333064, 0.30119001734438233, 0.3021991128753943]"
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,,1908,1975-03-31,76274745344,14.40439450566486,"[0.5870703608492811, 0.6235445126982672, 0.5015047879616963, 0.4472569869201092]"
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,,1946,2008-08-27,13526362112,14.27439898059437,"[0.3463611859838275, 0.3838033479113256, 0.523958519578044, 0.36509635974304067]"
NVDA,Nvidia,Information Technology,Semiconductors,,1993,2001-11-30,4460857262080,14.085404148481828,"[0.7498869705816992, 0.7271757329043695, 0.5692889449099132, 0.6492903321691313]"
APP,AppLovin,Information Technology,Application Software,,2012,2025-09-22,202716561408,14.077856419759923,"[0.7522309294392651, 0.6773795516232132, 0.5541217113740647, 0.6462376624715729]"
DAL,Delta Air Lines,Industrials,Passenger Airlines,,1929,2013-09-11,38942699520,12.635713593332074,"[0.26859497428742923, 0.26733048511576624, 0.22063184532046973, 0.07495233954312853]"
INTC,Intel,Information Technology,Semiconductors,,1968,1976-12-31,176064626688,12.165763591213208,"[0.32664168283083184, 0.400365125027661, 0.426079233672725, 0.5544518121077141]"
EXC,Exelon,Utilities,Electric Utilities,,2000,1957-03-04,48257191936,11.681075469176301,"[0.3790602744484975, 0.37773277488838775, 0.39181255896844536, 0.5801650128219422]"
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,,2007,2018-12-03,40264622080,10.916083257731739,"[0.4510568810668602, 0.5753687492505096, 0.700501777127326, 0.6328738698680895]"
UAL,United Airlines Holdings,Industrials,Passenger Airlines,,1967,2015-09-03,32095383552,9.43449178548762,"[0.28901389692094703, 0.28294580858945956, 0.23668112557001447, 0.02926849070390517]"
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,,2021 (1989),2008-06-23,17399590912,9.036172089720242,"[0.365518504946867, 0.4643219479201894, 0.663020660700475, 0.5616120614670919]"
VST,Vistra Corp.,Utilities,Electric Utilities,,2016,2024-05-08,68221472768,6.600228927746531,"[0.48264050162563865, 0.4042222071858718, 0.1553758741258741, 0.13629212552786288]"
ALB,Albemarle Corporation,Materials,Specialty Chemicals,,1994,2016-07-01,10913914880,6.356531778991941,"[0.011629697373848122, 0.12331121636924998, 0.4200195789568017, 0.29987496833642985]"
FSLR,First Solar,Information Technology,Semiconductors,,1999,2022-12-19,24865368064,6.209454754938261,"[0.4416871974322259, 0.3919358211680702, 0.02667029101839066, 0.24969547205167175]"
MRNA,Moderna,Health Care,Biotechnology,,2010,2021-07-21,10159005696,4.898087560309,"[0.5423569865582994, 0.3051525022209061, 0.7130596026490066, 0.85244700045106]"
MU,Micron Technology,Information Technology,Semiconductors,,1978,1994-09-27,227164684288,4.803667800587618,"[0.22352753773246783, -0.09111969111969112, 0.4518499252227063, 0.3762136798411839]"
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,,1888,2022-10-03,33749334016,4.7923906457179495,"[0.14691512682796803, 0.18571643844100433, 0.6638288931019262, 0.43796611111151723]"
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,,1989,2025-03-24,24000321536,4.003941502496899,"[0.2703150912106136, 0.6481028938906752, 0.7127501529319235, 0.11900191938579655]"
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,1997,2014-12-05,81572495360,1.9353263006128387,"[0.4751592356687898, 0.44064748201438847, 0.2515837104072398, -0.7878590078328982]"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,2011 (1966),2017-10-13,10443456512,1.348033014842584,"[0.40868856880912596, 0.36912667293884716, 0.13159219284192444, -1.3924560098520646]"
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,1972,1998-12-22,37175238656,1.346028846844355,"[0.37500499580352503, 0.3369610521928403, 0.03385652066726929, -1.439727463312369]"
