Ticker,Full Name,ROIC History,ROIC Changes,ROIC Power
CCL,Carnival Corporation & plc,"[np.float64(0.17125880492596673), np.float64(0.10651274232193422), np.float64(-0.24783519157847078), np.float64(-0.3143401915572898)]","[-0.06474606260403251, -0.354347933900405, -0.06650499997881903]",7.347163922381997
CARR,Carrier Global Corporation,"[np.float64(0.1187239197738592), np.float64(0.13511822844989366), np.float64(0.2823929685284945), np.float64(0.19277020625318855)]","[0.01639430867603446, 0.14727474007860084, -0.08962276227530594]",10.320940756748447
CAT,Caterpillar Inc.,"[np.float64(0.25252095970328015), np.float64(0.23908834430491785), np.float64(0.166673695753026), np.float64(0.1483510557988051)]","[-0.013432615398362296, -0.07241464855189184, -0.018322639954220926]",37.416089214254775
CBOE,"Cboe Global Markets, Inc.","[np.float64(0.19355748220201593), np.float64(0.19706057670814395), np.float64(0.09905918057663125), np.float64(0.16880668607695692)]","[0.0035030945061280128, -0.0980013961315127, 0.06974750550032567]",14.495768584622057
CBRE,"CBRE Group, Inc.","[np.float64(0.07646517668705016), np.float64(0.06452917388792606), np.float64(0.08974358974358974), np.float64(0.09208017151099118)]","[-0.011936002799124101, 0.025214415855663683, 0.0023365817674014383]",65.35256678611232
CDW,CDW Corporation,"[np.float64(0.2109721352736007), np.float64(0.22458414055715145), np.float64(0.26489985344406447), np.float64(0.24458348415119707)]","[0.013612005283550749, 0.04031571288691302, -0.020316369292867398]",40.3039742680206
COR,"Cencora, Inc.","[np.float64(0.03950416058319264), np.float64(0.04728989765843659), np.float64(0.05433800112369386), np.float64(0.05612841430804797)]","[0.007785737075243944, 0.00704810346525727, 0.001790413184354113]",374.6158674374223
CNC,Centene Corporation,"[np.float64(0.0522453143769232), np.float64(0.04675134031146285), np.float64(0.02500901311170566), np.float64(0.03379619982192585)]","[-0.005493974065460351, -0.021742327199757192, 0.008787186710220194]",80.17803604839867
CNP,"CenterPoint Energy, Inc.","[np.float64(0.13527292502209232), np.float64(0.1300716872367157), np.float64(0.10331178255706558), np.float64(0.09945275446917183)]","[-0.005201237785376622, -0.026759904679650115, -0.0038590280878937483]",95.29680435040879
CF,"CF Industries Holdings, Inc.","[np.float64(0.20760998810939357), np.float64(0.2431047639812493), np.float64(0.6099683544303798), np.float64(0.23152115693626138)]","[0.03549477587185573, 0.36686359044913047, -0.37844719749411837]",3.2798318137238205
CRL,"Charles River Laboratories International, Inc.","[np.float64(0.050497103735768836), np.float64(0.13093986525472626), np.float64(0.1581921659064565), np.float64(0.1627126068602995)]","[0.08044276151895742, 0.027252300651730232, 0.004520440953843019]",31.43100159875142
CHTR,"Charter Communications, Inc.","[np.float64(0.39520380803181393), np.float64(0.4496276671917514), np.float64(0.48598358657674495), np.float64(0.3438296204350951)]","[0.05442385915993747, 0.03635591938499355, -0.14215396614164988]",11.271898974328314
CVX,Chevron Corporation,"[np.float64(0.02392614036460371), np.float64(-0.006730625634053773), np.float64(0.008511185394703009), np.float64(0.003082810035326364)]","[-0.030656765998657482, 0.015241811028756783, -0.005428375359376646]",53.279936619618
